word,var
notenemy,0.14602926425634458
disrespected,0.14244033191121983
notdisrespected,0.13360329342096786
vomiting,0.12625270085019086
deni,0.1253128474973893
racism,0.11915901953564674
accused,0.11445726022762727
notrefund,0.1143723074376523
poisoning,0.11305695616828258
refund,0.11216182804927663
livid,0.11211647174793847
olivier,0.1106922808229392
accusing,0.1099773378588288
ozzy,0.1083593951104877
fraud,0.10803534250706187
disrespectful,0.10637639412544554
humiliated,0.10636452099378166
notdecency,0.10623960659348183
vomited,0.10454867420566906
violently,0.10450461573142208
rudest,0.10371486208637119
roaches,0.10323887523775997
disgrace,0.10259180322637591
discriminated,0.10211889493352375
contacting,0.10211545070162559
liars,0.10174292907727568
notdisrespectful,0.10113219197682113
cockroaches,0.10004848941929582
diarrhea,0.09974519392379691
disgusted,0.09901772400876199
cockroach,0.09794008664742213
confrontational,0.0976805985628472
notincompetent,0.09718767036551354
notrudely,0.09563051488753749
notunprofessional,0.09448635349229619
discrimination,0.09446025289016435
roach,0.09434695410312109
bbb,0.09384004131393296
disrespect,0.09351534838277335
dishonest,0.09344358312343544
nastiest,0.09328659367456671
nausea,0.09268063128619372
inspector,0.09226195659240001
notdisgusted,0.09193459050242966
racist,0.09137870933614349
worst,0.09100482555099716
audacity,0.09039539010969118
notzero,0.08875648924231626
liar,0.08866348483440653
argumentative,0.08845212575893749
notinsulted,0.08813386621063071
aweful,0.08768988729215077
puking,0.08753900933783745
scam,0.08690677817906285
filth,0.08616074067038966
incompetent,0.08606353937453265
symptoms,0.08530439872210974
enrique,0.08472642692073737
cramps,0.08405488989613606
poorest,0.0838146269282578
rudely,0.08370216021431004
violations,0.08333694070077546
notcancel,0.08262230832718119
incompetence,0.08211893604745484
notrectify,0.08209198716821696
jem,0.08206460593524229
disgusting,0.08198551003952807
furious,0.08157973247814569
notcontacted,0.08150918958411611
confronted,0.08130455947669704
wac,0.0811977510067856
notrefused,0.0811749795579276
puked,0.0810197547473333
cussing,0.08089220351299782
nothappier,0.08084230673812434
notresolve,0.07988703597507127
appalling,0.07893457735847469
disgust,0.07880310173444348
threatened,0.07828039646857357
notapologies,0.07812135577298321
notpatronize,0.07706672151301903
refused,0.0768220507871218
insulted,0.07664231476632938
notapology,0.07664009349805673
unmatched,0.07663229810886624
notreply,0.07658618127624087
demanded,0.07630774203845898
insect,0.07626220917527482
harassed,0.07618434262155943
horrible,0.07616318488326204
notdisappoints,0.07596021938846594
unsanitary,0.07571227313175108
dirtiest,0.07563378733459948
calmly,0.07532960668469209
vomit,0.07513912393955638
notapologize,0.07511297104773368
argued,0.07485571281120305
appalled,0.07454837420266208
unprofessional,0.07453945865437048
voicemail,0.07438327887192114
notwaist,0.0742796695853429
blaming,0.07398663036018581
notdiarrhea,0.07391619608349115
mortified,0.07371370991814102
revolting,0.07364424128091858
inept,0.07340681249286748
ewwww,0.07319848227298589
assaulted,0.07314308066663013
biaggio,0.07272933076430362
grossest,0.0725712629449523
notbehavior,0.07247350516037067
notexpired,0.072313177551618
notunacceptable,0.07210745602670408
morons,0.07202803839923616
fuming,0.0715726343353022
irate,0.07144638351816855
nerve,0.07141481640963546
notpoisoning,0.071325483689901
rotten,0.07128698563128794
notpolice,0.0712501573619933
notdisrespect,0.07100733235261501
notreplied,0.07074096751794126
gem,0.07054662353841348
repulsive,0.07032139180311188
stormed,0.07028740241868013
replies,0.07015055816586033
nothonor,0.06991207906278424
masterful,0.06988487940638408
faygo,0.06957087825749655
irresponsible,0.06938073143063185
notlied,0.06924549409981569
putrid,0.06917986747223676
canceled,0.06909433714290869
candice,0.0690074330033877
rancid,0.06898333361230395
lied,0.06891506409615675
ashamed,0.06891283314296053
yelled,0.06889901641189189
hobak,0.06878969426586531
notmanger,0.0686451311025397
refusing,0.06863063843286717
blamed,0.06851380299825649
filthy,0.06850602725334792
notmanager,0.06847136102288258
boycott,0.06846232388398636
notdeserve,0.06818557228474326
notwaste,0.06795390453645211
notracist,0.0678346614490902
injury,0.06782022842095024
insult,0.0677740707172462
sarcastically,0.06758003055881774
cancel,0.06720488753212092
illness,0.06716460790069088
denied,0.06706634312096675
crawled,0.06660792849458068
unapologetic,0.06655806992039379
nauseated,0.06648135983002913
notacknowledgement,0.06644247715511419
deplorable,0.06643167634567475
arguing,0.06612357762658642
notcompensation,0.06608344843876814
royalty,0.06572870911206037
notnerve,0.06545254522064475
notresponse,0.06544731365890055
paco,0.06541756974806488
violation,0.06533659542379196
refunded,0.06526960689349326
nottreated,0.06515454476742308
theft,0.06514514157207531
dispute,0.06500047882916263
excuses,0.0649605872903001
threatening,0.06487961673974028
zero,0.0646611551469283
rotting,0.06464886875523013
notremake,0.06461815838614605
tastless,0.06461633443070855
notgloves,0.0645742005303243
notrespect,0.06454932242315248
pathetic,0.06449519335152855
rude,0.06439107286097884
demeaning,0.06438202990288308
gagged,0.06417619295434043
inconsiderate,0.06386124191085603
notdump,0.06354943335270183
notignorant,0.06344360101863579
notgroupons,0.06327165276525137
nottreating,0.06320389580274993
notcourtesy,0.06319375359346782
notresponded,0.06296902457187867
uncaring,0.06294638031554843
plague,0.0628312798293613
defensive,0.06273178132128844
notprofessionalism,0.062341357279790156
horrific,0.06222497179904162
notgem,0.06218932782748686
garbage,0.06188503991820886
notearned,0.06187152839014561
notdisgusting,0.06167131526970087
contaminated,0.06166303907806973
notacknowledged,0.06158940226777144
ignores,0.06155252096069649
yummmmmm,0.06154412758913761
vile,0.06144383456939635
foodgasm,0.06139582431206963
impeccable,0.06121643813661672
harassing,0.061036402759791976
