word,var
worst,0.09829795005544337
horrible,0.08210123938907482
rude,0.07212221050856704
incredible,0.07129266168523954
terrible,0.07012389382748173
gem,0.0691309400813961
awful,0.0582546564281277
die,0.05712114646855248
perfection,0.05257679469871649
amazing,0.050232525906275936
highly,0.048483256024228163
fabulous,0.045639019513988736
outstanding,0.04501412284691157
manager,0.04472488261742513
wonderful,0.0401739594804907
fantastic,0.0400864590731219
perfect,0.040035443480038
poor,0.03972066986938947
notreturn,0.037026125048032
favorite,0.03601140170468073
awesome,0.034634269224341464
delicious,0.033561461208752356
notdisappointed,0.03318429718031716
yum,0.032810245299912305
notch,0.032759441890006034
management,0.032607815066258844
recommend,0.03229944503046861
favorites,0.03204368015573362
perfectly,0.03192614022577681
dirty,0.031922176441430326
excellent,0.031724430153205606
mins,0.03114979541824334
mediocre,0.030524230798334887
notrecommend,0.03026442477217585
told,0.030069092441510858
phone,0.02901197377187627
notcoming,0.02822259601906089
yummy,0.027722163127399026
disappointing,0.027620591693607928
bad,0.026522236128084516
called,0.026414097570329084
notimpressed,0.026258831457054294
helpful,0.02622508073774309
waited,0.02613318989032876
loved,0.02567442054845597
bland,0.02556567976195514
notback,0.02471993780717946
minutes,0.024616436049576983
asked,0.02450299398564899
best,0.024213057369738007
sorry,0.02396673540362186
min,0.023747262537999466
notshe,0.023688768928982563
overpriced,0.023338260765735513
love,0.02326625827742309
impressed,0.023113927734734665
cozy,0.023088258750334587
solid,0.022746435168000855
notcame,0.022684667827168232
wrong,0.022313998051713226
him,0.021655225743441912
disappointed,0.021492292896424618
paid,0.021348184527519767
nother,0.021298625842615646
thank,0.021141250765929657
juicy,0.021132315105518065
flavorful,0.021070977962890106
notus,0.020991123325719355
comfortable,0.020895555230427753
great,0.02077622854749903
unique,0.020386623062110976
notworth,0.02031440696653857
money,0.01989176668914255
notno,0.019791547755365967
charge,0.019660362822871303
average,0.01921583721310189
rich,0.019210977986796295
homemade,0.019139161730719244
reasonable,0.01897033057521748
friendly,0.01892970221540466
worth,0.018783295512455816
walked,0.018655688856556163
barely,0.01829942504542663
authentic,0.01822144578000818
sad,0.01804447922959988
glad,0.018033563501116234
notcare,0.017952036107753318
okay,0.017938411650334052
creamy,0.01792784780854301
says,0.01766522384042042
ok,0.017575085408570636
notever,0.01752264427762206
fresh,0.01748481236727386
healthy,0.01741127429585868
empty,0.017280388486226005
casual,0.017149447320264407
her,0.01692829243066774
bill,0.016880644727151388
notour,0.0166918203953618
attentive,0.016667660015573092
said,0.016625426956147566
dry,0.016585707890654357
phoenix,0.016446581103519802
complaint,0.016093725647109765
waiting,0.016045727351752782
she,0.016040191679723356
vegan,0.016022416726942247
enjoyed,0.015993184608636184
later,0.015986958831777778
recommended,0.015795721128127826
decent,0.015720441823392498
cold,0.015667676751008122
tender,0.015617270847166218
completely,0.015437424994312878
received,0.015377023296725457
nothe,0.015327973518505194
never,0.015277599184473393
wow,0.015241175635241293
customer,0.015203633716979114
spot,0.015001190632838102
always,0.01497276608696469
hands,0.014972296550042738
left,0.014962697035551878
frozen,0.014824344717061481
definitely,0.014791879168407848
notflavor,0.01433983144937894
lady,0.014275352606930435
notservice,0.014171676842436294
flavors,0.01401899252250889
tasty,0.013997603036580106
customers,0.013907079814192433
unfortunately,0.01384154327806138
notgive,0.013823805536698366
understand,0.01372546081834138
card,0.013699056865936508
stuffed,0.013610065576277567
finally,0.013573446133264336
lovely,0.013568169002973599
notwill,0.013469815178124367
ever,0.012978146338604184
call,0.01277142590745379
generous,0.012746084196561763
hostess,0.01268394803319194
treat,0.012542662881093824
beautiful,0.012505675451091285
variety,0.012483726212681337
absolutely,0.012452890479299138
notfresh,0.012430648245777746
no,0.01229634363223178
truly,0.012063604060272813
notafter,0.01205106823295699
las,0.011998345577062466
traditional,0.011909902282092077
saying,0.011803163130517215
classic,0.01180295359194898
crisp,0.011597158796604893
closed,0.0115543963056799
leave,0.011543013760346232
shared,0.011531635982866363
filling,0.011472213786211523
literally,0.01146234098622721
pricey,0.011452556409522013
notask,0.011379192229305297
world,0.011138607341891725
vegas,0.011086584207396659
notorder,0.011064286887845763
prefer,0.01101208189269163
outdoor,0.010968052780163454
vibe,0.010888366081557665
wo,0.010877108391728663
nottable,0.0108765333084868
cocktails,0.010826057608363523
girl,0.010813786554260135
typical,0.010776459569990618
fun,0.01076387799546298
notcome,0.010739125882944121
talking,0.010623246784348676
topped,0.010608674183423789
crispy,0.010502533336599854
liked,0.010499213764260718
modern,0.010484258527647944
notwhy,0.010469814882583296
overall,0.01045401917331821
bit,0.010418632392526592
atmosphere,0.010375018356311846
greasy,0.01019577120783365
fan,0.010072111255894111
mouth,0.010048489541654358
interesting,0.010030094232643234
he,0.010027023144730918
asking,0.010026956044056175
nothow,0.009944882455622719
notwe,0.009919990586430798
waitress,0.009899895951027866
delivery,0.009856694252486206
every,0.009781492711465563
nothing,0.009751163727597703
selection,0.009730310750617206
soon,0.00971560070724555
thanks,0.00970291575159185
located,0.00962860533627089
town,0.009620272490467926
notright,0.009581940115739398
notprice,0.009547501594655729
turned,0.009545648973529618
took,0.009528506188123106
super,0.009514129060236543
specials,0.009506033299910894
notdid,0.009485488705239194
employees,0.009362116026204879
owner,0.00934163183001919
notordered,0.009318501786369542
guess,0.009274715616361501
problem,0.00927090116839589
slow,0.009227896478663209
apparently,0.009178488510680342
noteat,0.00905852638849871
must,0.009039728099418744
fairly,0.00883941733867237
life,0.008819706402183122
business,0.008812269912139696
sitting,0.008804845106012631
everything,0.008786718793774441
nicely,0.00876270911866616
