word,var
poisoning,0.12419905967056385
refund,0.11959875092115908
worst,0.10029749775156832
notapologize,0.09653331771057044
disgusting,0.0939126389708634
unprofessional,0.09226240000593397
horrible,0.08413108153080817
notapology,0.08360095773490116
refused,0.08176843937389251
garbage,0.08149556961954764
nottreated,0.07948165166109993
rudely,0.07800808420005922
notdisappoints,0.07734011254687966
yelled,0.07620848757133095
notmanager,0.07510106686817905
filthy,0.07467736798487988
rude,0.07429312989552753
notwaste,0.07353172651243131
pathetic,0.07271518328045432
terrible,0.07218626218808544
incredible,0.0697872301175488
notdeserve,0.06943040620686695
gem,0.06789407864072174
nasty,0.06604754501489468
phenomenal,0.06367558765119039
joke,0.06305680017632873
apology,0.062174552122039414
exquisite,0.06121888391003278
awful,0.06005024885354326
horrendous,0.06001068835645102
waste,0.0592597185411621
unfriendly,0.05876393461812692
unacceptable,0.05821971703608406
arepas,0.05772988785593727
inedible,0.057573517576720516
notreturning,0.056773820825139605
hooked,0.056532931932531484
dump,0.05648967231954985
acknowledged,0.05646861347067041
addicting,0.05640429084051026
responded,0.055672979134820125
die,0.05558160381272704
notregret,0.05487762564781682
notestablishment,0.0544824411099888
security,0.05387280269112802
ignored,0.05350102669054491
notmanagement,0.05347508428500919
impeccable,0.053047844108486744
incorrect,0.052638938590258186
addicted,0.05227505783837217
exceeded,0.0513164314444688
perfection,0.05131284689584481
heaven,0.05122100518425217
pissed,0.050963318425324713
informative,0.05067613773044865
tasteless,0.05033643231099308
notbusiness,0.05026985743568032
superb,0.05005685038114857
acted,0.049908621843787464
gross,0.049836952768910536
knowledgable,0.049626175809716816
replied,0.04959748354193068
downhill,0.049503873900898714
notmoney,0.049282832151098
notexcuse,0.04918909214136833
horribly,0.04909820371140004
drawback,0.049069309331449706
notdisappoint,0.048973172044623516
notemployees,0.04878998805561923
sick,0.04873531575577033
receipt,0.048625891312561995
amazing,0.04851714651841079
notcustomers,0.04841039777571949
shitty,0.04821720948135189
wasted,0.04806540981213829
notphone,0.04778529592812596
melts,0.04754481359460838
manager,0.047402287298864344
driver,0.047360586897378196
disaster,0.047317433357437495
yuck,0.04683453291790671
wtf,0.04665387131121172
highly,0.04661600024105384
shut,0.04619710400870937
mmmmm,0.04614670893869216
notcustomer,0.04595444531628563
trash,0.04526955079868238
complained,0.045024433521491936
microwaved,0.044231180641943445
notworse,0.044185246214491006
contact,0.04403794076637613
fabulous,0.04397589166118051
dream,0.043850652726841806
proceeded,0.04373446298595362
notpoor,0.043687836572976514
outstanding,0.043442879797625705
upset,0.042899803447393775
refuse,0.042816950034444565
response,0.042744497592590726
worse,0.04270423246746846
unhappy,0.042351064351138834
threw,0.04227786779423273
ripped,0.04226865802174299
freshest,0.042081198738429824
poorly,0.04183979687508944
throwing,0.041616933267468105
knowledgeable,0.0416119861564134
mmm,0.041593645734490994
frustrated,0.041579857958694906
poor,0.04130078147070245
deliciousness,0.04127676354013753
notreceived,0.04122954944147342
unimpressed,0.04100912466988222
wonderfully,0.04073552488125375
notjustify,0.04073164910836716
embarrassed,0.040623025012281995
notsorry,0.04057751568313414
attitude,0.040484730113312904
politely,0.040384202797785256
spit,0.040293970386887895
notsick,0.0402530957564376
attempted,0.04001593961993985
hire,0.03983581817806762
inattentive,0.03947660952496927
heavenly,0.039457277518797046
underwhelmed,0.03942537211775715
meh,0.039425331944646744
sucks,0.039383123248154725
defiantly,0.03935935626085479
notoverpowering,0.039238701520222484
charged,0.0392017614953147
coma,0.039176999136822335
rip,0.039175351044033725
flavorless,0.039015486964966616
jason,0.038914602733230504
microwave,0.03881473774486374
notpaid,0.038787043074981
addictive,0.038781171945061345
perfect,0.03876962869077123
notreturn,0.0387627956099665
fantastic,0.03863407466425783
wonderful,0.03850850940728228
faves,0.03841236046075729
stale,0.03796262405466474
deliciously,0.03780524233261261
notdiscount,0.03778101289865492
redeeming,0.037500083018072
genuinely,0.03726190400195904
nom,0.037142574055399474
notrude,0.0371173449663137
hair,0.037089233605765826
notclue,0.036974858614372864
nottold,0.03691058532669378
notanswer,0.036900813411519635
argue,0.03678530516172096
kidding,0.036704969870002
notcharged,0.03651149021353985
disorganized,0.036453024674952594
wagyu,0.03639650781801119
notbothered,0.03599917074474472
notcorrect,0.03599836469770484
continued,0.035740084475908054
excuse,0.035641175662096326
notspectacular,0.03554224896620846
screwed,0.03548335458422116
scrumptious,0.035336843617991706
walks,0.03530943862940384
delectable,0.035204498563282526
lousy,0.03514939328713241
bomb,0.03508530830132807
terrific,0.03494086744689642
wilted,0.034793219275996545
notattitude,0.034705866834551895
management,0.034675968204309716
crafted,0.03458582658532702
ruined,0.03447443866859999
favorite,0.03443118841154153
crappy,0.034411318727440986
notthanks,0.034246736451771356
nothorrible,0.03423583071668983
exceptional,0.03415151684903549
industry,0.03411793118647696
nottreat,0.03410842585167517
burned,0.03408686092358847
notmins,0.0340702964930034
customize,0.0338794580955671
dirty,0.033873159449244426
delish,0.03382742874807419
upbeat,0.03379545366446313
mins,0.03347857386515963
policy,0.03342066044749736
yelling,0.03341195975051836
notblown,0.03323330379515315
awesome,0.03313807739046686
straw,0.03309631959303527
nope,0.03296072495359627
unpleasant,0.032923544908153454
blah,0.03285918190963138
needless,0.0326800679221528
notbeat,0.03267157982459396
irritated,0.03264398221284253
fail,0.03264260987487707
nottip,0.03262333093185894
forced,0.03251209970143845
notrecommend,0.03232940915894471
delicious,0.03231058410698236
told,0.03230738493937768
lukewarm,0.03226605578918942
spoke,0.03222953734221214
comforting,0.032122158822281206
sucked,0.032057715539431875
