word,var,expect
worst,0.09733826671508151,1.3704399256171687
horrible,0.0812115722398447,1.4548421683920738
incredible,0.07301552122390606,4.447224851849094
rude,0.07096180772265208,1.5310473262209894
gem,0.0706125813057629,4.463430924958579
terrible,0.06914733775315826,1.5350236116789444
die,0.05879345553217069,4.344296369828892
awful,0.05696171667450394,1.6117792994171372
perfection,0.05384651403889009,4.344924468356265
amazing,0.051997889541409055,4.254136175976167
highly,0.05027090573400594,4.195597685692082
fabulous,0.0472787406500024,4.21558761643145
outstanding,0.04664306470757717,4.229078786504354
manager,0.04323635209708069,1.9216430883324513
wonderful,0.041843243774533745,4.156016331589841
fantastic,0.041574964834952786,4.1968857920400255
perfect,0.04125701380963914,4.220380325183249
poor,0.03891710221352704,1.819352740377762
favorite,0.037577632471985686,4.1232649836675925
awesome,0.036089709119486446,4.120161712937054
notreturn,0.0360383379539678,1.8733658560141493
notdisappointed,0.03498143232603162,4.033459537515371
delicious,0.03466278625322743,4.137614282585731
notch,0.03447310630034403,4.098576862711577
yum,0.033844488085066383,4.109790808027575
recommend,0.03362197770756933,4.096220602453448
favorites,0.033557893259927446,4.089644216855683
notagain,0.033299948390925115,1.9406863589733192
perfectly,0.032956541723573846,4.116337783377249
excellent,0.032883193908126856,4.108090474764182
management,0.031337212394926366,1.9869187383863842
dirty,0.030690146971263835,1.952083242341476
mediocre,0.03007652356870534,2.1153284872117113
notrecommend,0.029102011136720597,2.0093253743185757
told,0.028823986311139454,2.039696422060105
yummy,0.0285522916764509,4.022983254030059
phone,0.027628745990492205,2.1488028406767135
helpful,0.027626889983975278,4.033372257002213
notcoming,0.027241389408285067,2.0074756532539513
disappointing,0.027025167798940455,2.069110255237259
loved,0.026764095251288405,4.004058399267916
notimpressed,0.025813203934375063,2.4274990838125357
best,0.02580887698102277,3.879521102825217
bad,0.025490630551694073,2.0329422925071894
waited,0.025116265517582774,2.0392059033509895
called,0.02506407554641092,2.196893963760446
bland,0.02504094114693353,2.1372450707709723
noteven,0.025011702973908867,2.085983972880003
love,0.02463531392198383,3.9263129151900427
impressed,0.024218037475698628,3.9602036774229794
cozy,0.023907280925792123,3.9636903338272136
notback,0.023746536459150595,2.0889515398848406
minutes,0.0234435544432032,2.0860597742266753
asked,0.02343982689897772,2.087815403065676
sorry,0.02302860389475228,2.098019304958103
solid,0.0228789394776678,3.4516430430912526
overpriced,0.0227416689603326,2.141924254027896
notshe,0.022724619939437023,2.0940681658542073
thank,0.022641660984186237,3.646983681996964
notgoing,0.022226310832478915,2.105482078756413
great,0.0218989243571819,3.9065725015791686
flavorful,0.021859035218170793,3.9277558556005387
juicy,0.02179969009405005,3.899384628984489
comfortable,0.021750922977058232,3.9147980149845183
notcame,0.021738311512550693,2.1025227507608846
unique,0.021549657452708246,3.9253623741573973
wrong,0.021375964721490063,2.118391550177544
disappointed,0.02081029836666133,2.1526359139497706
nother,0.02034385907851648,2.1305983804671
him,0.020331444697328224,2.2622468936586357
homemade,0.020266519833591404,3.873211687907944
paid,0.020245164017849218,2.14725954787018
rich,0.020142105669253778,3.8816663413226964
notus,0.020009881393943656,2.148979608818683
friendly,0.019949030881257608,3.8862737214978877
worth,0.019833967491795994,3.8704689692545986
reasonable,0.019777405896018715,3.868161499051319
notworth,0.019687668686845173,2.17766884667637
authentic,0.01947648713949682,3.8303250964996156
glad,0.019158135124151043,3.837899163194723
average,0.018943895988365614,2.6503057455228896
notno,0.018866328272139618,2.1732039879618177
money,0.01879398784510843,2.218560971876582
charge,0.018682834733596727,2.1690200962760504
creamy,0.018658614520306347,3.8317399763249593
fresh,0.01851320465170536,3.846501112105606
healthy,0.018377658670553583,3.8314602103897313
phoenix,0.0177377440046759,3.743106732695174
casual,0.017718283195429202,3.759631991473322
okay,0.017668382836093628,2.5558167573781545
attentive,0.01752584076634914,3.8345784205363604
barely,0.01752191890984487,2.1910533832816115
walked,0.017507531582433025,2.325990171178309
ok,0.017327462862654693,2.5248890433259206
vegan,0.017214329809563212,3.782361048588406
sad,0.017138012782921336,2.2218968757913977
recommended,0.017036399852798173,3.737890203245559
wow,0.01695768962884735,3.4939310654107545
45,0.01693766327594595,2.2213533764395876
notcare,0.016913785414756098,2.245656641739795
complaint,0.016723487942153514,3.4226517929376232
says,0.01658879143380964,2.279476005668927
enjoyed,0.016503701640089186,3.6945257687243007
empty,0.01649036174845295,2.1913326903920396
notever,0.01645064171214871,2.3161146527123595
tender,0.01636620168842717,3.786609048883727
always,0.016087484091755817,3.769057431920252
hands,0.016083433375904423,3.4246820420998683
bill,0.016012366261659337,2.2132032065330836
dry,0.016009291605938673,2.328127385663564
her,0.015870867355351814,2.2894915817060704
spot,0.015842563744863813,3.7814041114534964
notour,0.01577070960257222,2.233165819517991
definitely,0.01570082811422036,3.773797196603874
said,0.015615781685093179,2.261895720043954
decent,0.01559547986326191,2.817585871314915
she,0.015067619828814355,2.288375504713803
waiting,0.015031075227369909,2.274727215534365
later,0.014968274609739016,2.3145161447896485
flavors,0.01490852051399238,3.7696274159871783
cold,0.014691731932913519,2.2719313279969304
stuffed,0.01450017370565093,3.7467106536470256
completely,0.014490775328817781,2.3101139120295535
received,0.014470033693832178,2.27895501944584
nothe,0.014409883688481508,2.2967089290440925
tasty,0.01439478680371367,3.6285710422104405
lovely,0.01435244250988563,3.7487004433276447
customer,0.0142861600148327,2.505688086231944
never,0.014251172469522387,2.4959229014540685
frozen,0.014029698807460241,2.2612683193569447
left,0.014009958507028417,2.294401283866459
notflavor,0.013686009973862604,2.315638564224389
